index,group,item,what_spec,context_audio,continuum_step,stim_audio,continuation_audio,affirmative_cont,target_image,comp_image
1,no_shift,flower,spec,flower.mp3,7,flower-2-2-7.mp3,flower1_cont.mp3,yes,flower_good.jpeg,flower_bad.jpeg
2,no_shift,flower,spec,flower.mp3,15,flower-2-2-15.mp3,flower2_cont.mp3,no,flower_good.jpeg,flower_bad.jpeg
3,no_shift,rabbit,spec,rabbit.mp3,8,rabbit-2-3-8.mp3,rabbit1_cont.mp3,yes,rabbit_good.jpeg,rabbit_bad.jpeg
4,no_shift,rabbit,spec,rabbit.mp3,16,rabbit-2-3-16.mp3,rabbit2_cont.mp3,no,rabbit_good.jpeg,rabbit_bad.jpeg
5,no_shift,baseball,spec,baseball.mp3,9,baseball-2-3-9.mp3,baseball1_cont.mp3,yes,baseball_good.jpeg,baseball_bad.jpeg
6,no_shift,baseball,spec,baseball.mp3,15,baseball-2-3-15.mp3,baseball2_cont.mp3,no,baseball_good.jpeg,baseball_bad.jpeg
7,no_shift,cake,what,whatsthis.mp3,10,cake-2-3-10.mp3,cake1_cont.mp3,yes,cake_good.jpeg,cake_bad.jpeg
8,no_shift,cake,spec,cake.mp3,16,cake-2-3-16.mp3,cake2_cont.mp3,no,cake_good.jpeg,cake_bad.jpeg
9,no_shift,waspsnest,what,whatsthis.mp3,10,waspsnest-2-3-10.mp3,waspsnest1_cont.mp3,yes,waspsnest_good.jpeg,waspsnest_bad.jpeg
10,no_shift,waspsnest,spec,waspsnest.mp3,15,waspsnest-2-3-15.mp3,waspsnest2_cont.mp3,no,waspsnest_good.jpeg,waspsnest_bad.jpeg
11,no_shift,cat,what,whatsthis.mp3,10,cat-2-3-10.mp3,cat1_cont.mp3,yes,cat_good.jpeg,cat_bad.jpeg
12,no_shift,cat,spec,cat.mp3,16,cat-2-3-16.mp3,cat2_cont.mp3,no,cat_good.jpeg,cat_bad.jpeg
13,no_shift,hedgehog,what,whatsthis.mp3,10,hedgehog-2-3-10.mp3,hedgehog1_cont.mp3,yes,hedgehog_good.jpeg,hedgehog_bad.jpeg
14,no_shift,hedgehog,spec,hedgehog.mp3,15,hedgehog-2-3-15.mp3,hedgehog2_cont.mp3,no,hedgehog_good.jpeg,hedgehog_bad.jpeg
15,no_shift,panda,what,whatsthis.mp3,11,panda-2-3-11.mp3,panda1_cont.mp3,yes,panda_good.jpeg,panda_bad.jpeg
16,no_shift,panda,spec,panda.mp3,16,panda-2-3-16.mp3,panda2_cont.mp3,no,panda_good.jpeg,panda_bad.jpeg
17,no_shift,cellphone,what,whatsthis.mp3,11,cellphone-2-3-11.mp3,cellphone1_cont.mp3,yes,cellphone_good.jpeg,cellphone_bad.jpeg
18,no_shift,cellphone,spec,cellphone.mp3,15,cellphone-2-3-15.mp3,cellphone2_cont.mp3,no,cellphone_good.jpeg,cellphone_bad.jpeg
19,no_shift,hammer,what,whatsthis.mp3,11,hammer-2-3-11.mp3,hammer1_cont.mp3,yes,hammer_good.jpeg,hammer_bad.jpeg
20,no_shift,hammer,spec,hammer.mp3,16,hammer-2-3-16.mp3,hammer2_cont.mp3,no,hammer_good.jpeg,hammer_bad.jpeg
21,no_shift,horse,what,whatsthis.mp3,11,horse-2-2-11.mp3,horse1_cont.mp3,yes,horse_good.jpeg,horse_bad.jpeg
22,no_shift,horse,spec,horse.mp3,15,horse-2-2-15.mp3,horse2_cont.mp3,no,horse_good.jpeg,horse_bad.jpeg
23,no_shift,butterfly,what,whatsthis.mp3,9,butterfly-2-1-9.mp3,butterfly1_cont.mp3,yes,butterfly_good.jpeg,butterfly_bad.jpeg
24,no_shift,butterfly,what,whatsthis.mp3,16,butterfly-2-1-16.mp3,butterfly2_cont.mp3,no,butterfly_good.jpeg,butterfly_bad.jpeg
25,no_shift,reindeer,what,whatsthis.mp3,9,reindeer-2-3-9.mp3,reindeer1_cont.mp3,yes,reindeer_good.jpeg,reindeer_bad.jpeg
26,no_shift,reindeer,what,whatsthis.mp3,15,reindeer-2-3-15.mp3,reindeer2_cont.mp3,no,reindeer_good.jpeg,reindeer_bad.jpeg
27,no_shift,umbrella,what,whatsthis.mp3,6,umbrella-2-2-6.mp3,umbrella1_cont.mp3,yes,umbrella_good.jpeg,umbrella_bad.jpeg
28,no_shift,umbrella,what,whatsthis.mp3,16,umbrella-2-2-16.mp3,umbrella2_cont.mp3,no,umbrella_good.jpeg,umbrella_bad.jpeg
